time	theta_1	theta_2	theta_3	phi	psi	theta_1_dot	theta_2_dot	theta_3_dot	phi_dot	psi_dot	motor_1_mode	motor_1_theta	motor_1_angvel	motor_1_torque_limit	motor_1_torque	motor_2_mode	motor_2_theta	motor_2_angvel	motor_2_torque_limit	motor_2_torque	motor_3_mode	motor_3_theta	motor_3_angvel	motor_3_torque_limit	motor_3_torque
1301	-0.00306796157577	0.013805827091	0.632000084609	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1326	-0.00306796157577	0.013805827091	0.681087469821	0	0	-0.0	-0.0	1.70483761335	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1350	-0.00460194236366	0.0153398078789	0.727106893458	0	0	-0.0	-0.0	1.70483761335	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1378	-0.00306796157577	0.013805827091	0.77619427867	0	0	-0.0	-0.0	1.61268422884	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1403	-0.00306796157577	0.0153398078789	0.829883606246	0	0	-0.0	-0.0	1.7509143056	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1428	-0.00306796157577	0.013805827091	0.877437010671	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1453	-0.00306796157577	0.013805827091	0.923456434307	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1478	-0.00306796157577	0.013805827091	0.966407896368	0	0	-0.0	-0.0	1.61268422884	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1503	-0.00306796157577	0.013805827091	1.01242732	0	0	-0.0	-0.0	1.56660753659	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1528	-0.00306796157577	0.0153398078789	1.05231082049	0	0	-0.0	-0.0	1.42837745983	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1553	-0.00306796157577	0.013805827091	1.09219432097	0	0	-0.0	-0.0	1.33622407533	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1577	-0.00306796157577	0.013805827091	1.1274758791	0	0	-0.0	-0.0	1.33622407533	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1601	-0.00460194236366	0.013805827091	1.16429141801	0	0	-0.0	-0.0	1.38230076758	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1626	-0.00460194236366	0.013805827091	1.20724288007	0	0	-0.0	-0.0	1.47445415208	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1650	-0.00306796157577	0.013805827091	1.24866036134	0	0	-0.0	-0.0	1.52053084434	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1677	-0.00306796157577	0.013805827091	1.29314580419	0	0	-0.0	-0.0	1.52053084434	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1702	-0.00306796157577	0.013805827091	1.33916522782	0	0	-0.0	-0.0	1.52053084434	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
